name,location,lat,lon
ARI,Arizona,33.5386858,-112.185994
ATL,Atlanta,33.7489924,-84.3902644
BAL,Baltimore,39.2908816,-76.610759
BUF,Buffalo,42.8867166,-78.8783922
CAR,Carolina,35.2272086,-80.8430827
CHI,Chicago,41.8755616,-87.6244212
CIN,Cincinnati,39.1014537,-84.5124602
CLE,Cleveland,41.4996574,-81.6936772
DAL,Dallas,32.7762719,-96.7968559
DEN,Denver,39.7392364,-104.984862
DET,Detroit,42.3315509,-83.0466403
GB,Green Bay,44.5126379,-88.0125794
HOU,Houston,29.7589382,-95.3676974
IND,Indianapolis,39.7683331,-86.1583502
JAX,Jacksonville,30.3321838,-81.655651
KC,Kansas City,39.100105,-94.5781416
MIA,Miami,25.7741728,-80.19362
MIN,Minnesota,44.9772995,-93.2654692
NE,New England,42.0653768,-71.2478308
NO,New Orleans,29.9759983,-90.0782127
NYG,New York Giants,40.833989,-74.0970865
NYJ,New York Jets,40.833989,-74.0970865
OAK,Oakland,37.8044557,-122.271356
PHI,Philadelphia,39.9527237,-75.1635262
PIT,Pittsburgh,40.4416941,-79.9900861
SD,San Diego,32.7174202,-117.1627728
SEA,Seattle,47.6038321,-122.330062
SF,San Francisco,37.7790262,-122.419906
STL,St Louis,38.6280278,-90.1910154
TB,Tampa Bay,27.6886419,-82.5723193
TEN,Tennessee,36.1622767,-86.7742984
WAS,Washington,38.92531295,-76.8815433
LA,Los Angeles Rams,34.0536909,-118.242766
LAC,Los Angeles Chargers,33.8322043,-118.2517547
LV,Las Vegas,36.1672559,-115.148516